Pos_C,Pos_PF,Pos_PG,Pos_SF,Pos_SG,height,weight,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Trp Dbl,Rk_Season,Overall,Rk_Conference,Season,Player,MVP_Shares_in_%
1.0,0.0,0.0,0.0,0.0,1.340791211807969,0.894647871074961,-0.7175951814047338,0.5956816293544327,1.3538785852569881,0.029593716993585463,0.10413797637540595,-0.404661444429213,3.1119670442147567,-0.7365027413173632,-0.7981075152626391,0.28247868622350336,0.3248243880392626,-0.12794450116535444,2.9137865505768117,2.8756101265243137,0.16199065463248538,0.21391587200407766,-0.11868226774564754,1.8220685823188436,1.4454147628354137,1.6493014378856072,-0.354497891891207,-0.6502455761169469,0.8768271979141683,-0.008282077918498918,0.6264066138138026,0.02376712533503988,1.2634246420715178,2.7789778385917345,-0.8656865765603469,1.052353247301343,1.7958935609293865,1.6712351505233365,1.8695884507794762,-0.448046561311684,-0.9898307125471824,1.3452844779843378,0.4465606346015198,-0.47874755018802106,1.02295391024816,0.9262085569808797,1.1196288733930695,1.7655860478409646,0.2023798540121171,0.6944536227022369,0.47292489130730486,0.23801478229259035,-0.1514069762143049,0.4505954876387044,0.06990580782387584,0.1436840403626437,2022,Ivica Zubac,-0.01596075
0.0,1.0,0.0,0.0,0.0,-0.2545330243974162,0.9676808457931029,-0.4664104274126568,-1.7021514582803199,-0.29525777988630214,-0.15198751585564405,-0.6624936164174872,-0.68864139447023,0.12179962428853293,0.38477547062413503,0.5383991321354096,0.3658008615856549,-0.7542413452927363,-0.962109691481074,1.9134679860435755,0.9410262179203955,-0.5806722362255533,-0.5900279711027778,-0.22520423840282652,-0.6153191868011652,-0.2781333167644531,-0.4099575291638134,-0.3041042132748267,0.18553970116788476,-0.3710846322290562,-1.0065559104988624,0.08570366420167734,-0.5833512818789277,-0.8856984792802162,0.7740044324144626,1.4746012482771118,-0.135116050885433,-0.7165757286982236,-0.3650097294091013,-0.5484543890229647,-0.448046561311684,0.33306520891139246,-0.2658524736266275,-0.8207462154617685,-1.375464825425685,-0.45536723626199554,-0.7036931163483144,-0.6131250181043785,-0.2598272586627843,-0.9124089184273029,0.09178166800398678,-0.7662581028574034,-0.726087164173985,-0.1514069762143049,1.0616401258072503,-0.63510872002391,0.8775541389890499,2022,Stanley Johnson,-0.0016969872
0.0,0.0,0.0,0.0,1.0,-0.46724292255813427,-0.2373632370562369,-0.9687799353968107,0.10328882486127144,1.1182876759508038,1.2325693846197328,1.141345425448144,1.5613535943162893,-0.8500047871874907,4.068975309860486,3.9404160527849874,0.8080493308155359,-0.003586922105258743,0.158054992657178,-0.636363649041141,0.5088319404663283,0.36453507941195035,0.16031961579695392,1.1014784870547654,-0.9476902462266208,-0.33373164191283594,-0.6042272430364003,-0.15292317742568545,1.8571102557375478,-0.3710846322290562,-0.6322032232812261,-0.18464781060438465,1.3729191413660786,0.15180923447579323,0.39807191875622644,1.944898323124831,-0.9098673612877805,-1.331328852756043,-1.089774856164715,-1.309690097849659,-0.5560711660882398,1.2149958232171092,-0.4672445925779982,-2.112902219447866,0.5639469559022855,0.5011935055975169,0.6002282223150409,0.6062203129493811,0.3215413756114399,0.2023798540121171,0.26397365506062964,0.29069209804778895,0.23801478229259035,-0.1514069762143049,-0.4048670057972598,0.5399154930557328,-0.5901860582637624,2022,Gary Trent Jr.,0.011037073
0.0,1.0,0.0,0.0,0.0,0.2772417210043789,-0.200846749697166,-0.4664104274126568,-0.2249730448008361,-0.6654720659388775,0.233872603948969,0.14923395242204698,0.18514306719443754,0.009668346041299423,3.2680623013308443,2.7861603118503093,1.0772440512163328,-0.8011572467419538,-0.8906098180254409,0.8935353320096897,2.25818973016136,-0.3106130031862666,-0.48283545868853045,1.1692651956547884,-0.7261095399429837,0.27784993471937497,-0.06027204419315726,-0.40489157050758745,0.18553970116788476,-0.5493577508209454,-1.0065559104988624,-0.7253507602165096,0.39478392974357546,0.27532205754198485,2.0479979509229373,2.739924330605499,-0.9098673612877805,-0.903674505585386,-0.002627166031294607,-0.34695081903942787,-0.6748982313424513,-0.10790009824146558,-0.4672445925779982,-1.88925983414258,-0.33277031933537826,0.5446735393184038,0.5187331386485812,0.6062203129493811,1.1842174135667403,1.0694377881316661,0.6083576291739153,1.2018560643453686,0.7522024870747638,-0.1514069762143049,-1.6269562821343515,1.7932746536740192,-1.5686795230989705,2022,Cameron Johnson,-0.01832174
0.0,0.0,0.0,0.0,1.0,-0.7863077697992114,-0.5294951359288042,-1.2199646893888878,-0.5532349144629436,-1.170309728737844,-0.9577542366241012,-0.30172580804436083,-0.36097222134597956,0.28999654165938216,0.8653232757419201,0.7814003407532366,0.8785527099681257,-0.6134936409450843,-0.6999434888104193,0.9523776005116448,1.3320591356169327,-0.5131574279657317,-0.5900279711027778,0.42361140105453643,-0.9476902462266208,-0.7785182430998983,-0.8762048424580219,-0.10252949880930501,-0.8591918954381547,-0.5493577508209454,-1.1313401395714078,-1.4012294472316655,-0.27979207827194397,0.6705630913537983,1.1290518064250212,1.3010392325595013,-0.6564440354552369,-0.9838596956798843,-0.4512912921181029,-0.7275686734527752,0.6754093283644965,-0.5488654053943239,-0.3329831799437511,-1.715315756682913,0.3971158349278363,0.06639316838864759,-0.8666832836812339,-0.29224466782707337,0.8466485291494491,0.8629954228651069,-0.5969862802225848,0.509371449959208,-0.14762599629403983,-0.1514069762143049,-0.16044915052984146,0.3832455979784476,-0.10093932584615832,2022,Jaylen Nowell,-0.0017656198
1.0,0.0,0.0,0.0,0.0,1.659856059049046,1.5519446435382374,0.5383285885556511,-0.2249730448008361,1.0173201433910104,0.9034534000805039,0.735481641028377,-0.14252610592981263,4.73787057879964,-0.7365027413173632,-0.7373572131081824,-1.6467501433155425,0.9816470083283058,0.1342217015053002,4.718282784636765,4.666129275976876,1.7823460528682058,2.1969773516676545,-0.4769834417743405,2.7083914074533926,4.447724320848086,4.058245889905684,-0.6064662849731091,-0.23235293747453115,2.83783150242495,0.36607060929913743,0.6264066138138026,0.917580335955603,2.6220656957996256,4.282707893224686,-0.8208963789558023,3.9848231605064903,1.8226219576275524,3.8455305307901764,3.347281297325413,-0.9557622037614966,-0.9898307125471824,2.822160016961056,0.04897417183656634,-0.45789366006621535,2.327354921874768,2.0671397283113158,2.5635904496409427,3.209630720070489,1.4410340456114727,1.46931756445713,1.8943406787315291,1.716304433541339,-0.1514069762143049,-0.6492848610646781,0.6182504405943757,-0.5901860582637624,2022,Rudy Gobert,-3.610484
0.0,1.0,0.0,0.0,0.0,-0.46724292255813427,1.0772303078703156,2.29662186650019,0.1853542922767983,1.1519435201374015,0.4268026638512755,-0.4370137361842833,-0.5138845021372964,0.4581934590302324,1.0255058774478485,0.8421506429076934,1.013150070168524,-0.7542413452927363,-0.8906098180254409,1.2269748535207685,1.8671568124648232,-0.9182462775246618,-0.9116055083455201,-0.012160297088468545,0.16021328519156489,0.555841560461289,0.4836831546500861,-0.10252949880930501,-0.023406618153323077,-0.5493577508209454,-0.7569874523537715,0.08570366420167734,-0.4315716800754359,-0.6880779623743094,1.3796734821971801,1.6593608133958586,-1.235697351643908,-0.07509420794223817,0.37701170988831234,0.23517060535745607,-0.3616268774904395,-0.2548885339590851,-0.4672445925779982,-0.39831059877400604,-1.542295946400134,0.19683326955130828,0.6817233059815007,0.4136921027829981,0.5278334716442291,-0.0866394573610659,1.2110295838721656,0.43647833265540165,0.23801478229259035,-0.1514069762143049,-1.260329499233224,0.9315902307489475,-1.5686795230989705,2022,P.J. Tucker,0.00344494
0.0,1.0,0.0,0.0,0.0,0.06453182284366085,0.894647871074961,1.7942523585160361,-0.5532349144629436,-0.8674071310584641,-0.5605452897664112,-0.707589592464128,-0.7323306175534634,0.17786526341214864,-0.09577233449364983,0.05239671489975538,0.09019674308007702,-0.6604095423943016,-0.8191099445698078,1.3250453010240268,0.42650922095126786,-0.9857610857844835,-0.9116055083455201,-2.055445370603445,-0.5045288336593464,-0.22253499161607024,-0.29339570084026134,-0.10252949880930501,-0.6502455761169469,-0.014538395045277748,-0.8817716814263169,0.49123087641077123,-0.7857240842835835,-0.9351036085066927,-0.29113768961721076,0.6851740154970123,-0.975033359359006,-0.34237817492389877,0.10091070921950726,-0.055890106840985714,0.05966908113812835,-0.6958538411119435,0.7411081211302258,-0.39831059877400604,-1.1252181439640114,-0.5858073374246564,-0.540702949015395,-0.6452130531321091,-0.4661193546955734,-0.8711204453739911,0.5222616356455939,-0.5840253095978876,-0.6618137010762133,-0.1514069762143049,-0.038240222896132284,0.22657570290116172,-0.10093932584615832,2022,James Johnson,-0.0017656198
0.0,1.0,0.0,0.0,0.0,0.5963065682454559,0.894647871074961,-1.4711494433809646,-2.276609730189008,-1.170309728737844,-0.8102194849341019,-0.707589592464128,-0.8415536752615468,1.0562269430154778,0.7051406740359918,0.41689852782649595,1.3208011791980068,-0.9419049510896058,-1.057442856088585,1.5604143750318473,2.6698033277366626,-0.6481870444853751,-0.5364317148956541,-1.0483285571173904,0.16021328519156489,-0.4449282922096014,-0.2545417580657439,-0.959222035287772,-0.8591918954381547,-0.3710846322290562,-1.1313401395714078,-0.45499928541044726,-0.6002156820793157,-0.1446215408830665,2.131538509513657,1.5417865446839287,0.2558799375419199,0.8603996764935742,0.014629146510505654,0.3918956042335405,-1.1394040318816414,-0.8428422768295628,0.13693176427611373,-1.1437852164582931,-0.8749714625023376,-0.3249271350993348,-0.9481783673476936,-0.6131250181043785,0.5653411254683726,-0.045350984307754014,-1.3718502219774777,-0.5840253095978876,-0.5975402379784416,-0.1514069762143049,-0.5270759334309689,0.5399154930557328,-0.3455626920549604,2022,Zeke Nnaji,-0.0093683675
1.0,0.0,0.0,0.0,0.0,1.128081313647251,-0.018264312901811502,-1.2199646893888878,-1.784216925695847,-0.5645045333790842,-0.3903128839702582,-0.0311499517645163,-0.6012629483037633,4.009017270192625,-0.7365027413173632,-0.7981075152626391,0.28247868622350336,0.18407668369161062,-0.34244412153225384,3.8552628466080927,3.863482760705039,-0.5806722362255533,-0.32204669006715936,-1.5325193328318403,0.7141650509006577,0.38904658501614064,0.5225370974246033,-0.70725364220587,-0.6502455761169469,1.0551003165060577,-0.8817716814263169,0.08570366420167734,-0.24606327787116813,1.1152092543920884,3.0295995143638934,-0.8656865765603469,0.2776019368989951,1.1544120401734008,0.8429321485169209,1.0635741708453297,-0.8153302175519739,-0.6958538411119435,2.1508529537898204,-0.795897061538959,-0.8332636822587255,0.15335323583042132,-0.4592078653489354,-0.06762842263295969,1.4655248172478168,0.36753374622536455,0.17787766153230825,0.3635852153515953,-0.21189945939181148,-0.1514069762143049,-0.038240222896132284,0.22657570290116172,-0.10093932584615832,2022,Nic Claxton,-0.009533907
